Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,138.684,-86.934,-90,top
C3,100uF,CP_Elec_6.3x5.4_Nichicon,162.941,-101.473,180,top
C4,0.1uF,C_0805_2012Metric,128.524,-108.778,90,top
C5,0.1uF,C_0805_2012Metric,155.448,-108.778,90,top
C6,0.1uF,C_0805_2012Metric,98.7352,-95.504,-90,top
C7,0.1uF,C_0805_2012Metric,172.582,-79.0448,-90,top
C8,0.1uF,C_0805_2012Metric,172.582,-96.012,-90,top
C9,0.1uF,C_0805_2012Metric,98.7352,-61.7728,-90,top
C10,0.1uF,C_0805_2012Metric,98.7352,-78.5368,-90,top
C11,0.1uF,C_0805_2012Metric,173.3076,-62.2808,-90,top
C12,0.1uF,C_0805_2012Metric,105.09,-61.976,180,top
C13,0.1uF,C_0805_2012Metric,168.656,-70.612,180,top
D1,5V LED,LED_0805_2012Metric,199.136,-109.728,180,top
D2,VIN1 LED,LED_0805_2012Metric,73.197,-135.3312,-90,top
D3,VIN2,LED_0805_2012Metric,198.5264,-134.7197,-90,top
D4,Zener 10V,D_SOD-123,199.135999,-116.84,0,top
D5,Zener 5.1V,D_SOD-123,193.294,-106.934,0,top
FB1,150 OHM,R_0805_2012Metric,105.029,-58.801,180,top
Q1,DMP3056L-7,Diodes_Inc.-SOT23-01_2017-0-IPC_A,198.501,-121.408934,-90,top
R1,120,R_0805_2012Metric,204.216,-110.3395,-90,top
R2,1K,R_0805_2012Metric,73.152,-141.1205,90,top
R3,4.7k,R_0805_2012Metric,128.524,-86.868,-90,top
R4,1K,R_0805_2012Metric,198.628,-139.7,90,top
R5,4.7k,R_0805_2012Metric,124.968,-86.868,90,top
R6,100K,R_0805_2012Metric,199.135999,-114.3,180,top
R7,10K,R_0805_2012Metric,144.145,-65.659,180,top
R8,10K,R_0805_2012Metric,104.9865,-55.88,0,top
U1,AT24C256C-SSGL-T,SOIC-8_3.9x4.9mm_P1.27mm,133.604,-85.344,-90,top
U3,SN74HCT245PWR,TSSOP-20_4.4x6.5mm_P0.65mm,121.92,-109.22,-90,top
U4,SN74HCT245PWR,TSSOP-20_4.4x6.5mm_P0.65mm,149.352,-109.22,-90,top
U5,AM26C31IDR,SOIC127P600X175-16N,91.44,-95.504,180,top
U6,AM26C31IDR,SOIC127P600X175-16N,179.948,-79.0448,0,top
U7,AM26C31IDR,SOIC127P600X175-16N,179.948,-96.012,0,top
U8,AM26C31IDR,SOIC127P600X175-16N,91.44,-61.7728,180,top
U9,AM26C31IDR,SOIC127P600X175-16N,91.44,-78.5368,180,top
U10,AM26C31IDR,SOIC127P600X175-16N,180.064,-62.2808,0,top
U11,TPS2051BDBVR,SOT-753,148.336,-64.008,180,top
U12,TPD4S009DBVR,SOT-23-6,117.404,-63.345,180,top
